customer_id,customer_name,age,gender,city,country,city_tier,budget_min_npr,budget_max_npr,preferred_brand,brand_loyalty_score,gaming_interest,camera_interest,battery_interest,display_interest,performance_interest,software_interest,value_interest,min_ram_gb,min_storage_gb,chipset_tier,min_refresh_rate_hz,min_battery_mah,purchase_frequency_per_year,n_past_purchases,avg_session_minutes,search_freq_per_week,compare_freq_per_week,click_through_rate,recency_days,avg_rating_given,interaction_channel,wishlist_conversion_rate,accessory_affinity,true_archetype
syn_u_00010,Sita Pandey,23,Male,Doti,Nepal,tier_1,8570,33077,Redmi,0.5,34.6,42.9,66.4,41.3,32.2,38.1,89.6,4,64,Budget,60,4500,1.3,1,7.1,11,17,0.35,165,4.4,WhatsApp,0.09,0.33,Budget Buyer
syn_u_00011,Asha Tamang,27,Female,Jhapa,Nepal,tier_1,53247,179009,Samsung,0.73,80.6,74.0,60.8,99.5,82.3,43.6,34.6,8,256,Flagship,144,5000,2.3,2,19.3,11,12,0.41,42,4.1,Mobile App,0.3,0.48,Display Enthusiast
syn_u_00012,Pooja Parajuli,61,Male,Beni,Nepal,rural,22155,69779,Samsung,0.6,38.4,41.9,88.2,48.4,54.4,41.9,57.0,6,128,Mid,90,6000,2.1,2,6.8,9,6,0.27,114,4.9,In-store,0.17,0.31,Battery-Focused User
syn_u_00013,Sabita Limbu,41,Female,Putalibazar,Nepal,tier_1,27765,93689,Oppo,0.48,40.4,45.2,51.8,41.5,47.2,41.3,79.0,6,128,Mid,90,4500,1.5,3,12.0,10,6,0.24,55,4.2,In-store,0.19,0.47,All-Round User
syn_u_00014,Gita Shrestha,23,Female,Ilam,Nepal,tier_2,8725,28737,Redmi,0.48,32.6,40.4,73.2,44.6,30.7,40.3,83.6,4,64,Budget,60,5000,1.3,1,6.1,11,13,0.65,125,3.5,Mobile App,0.08,0.5,Budget Buyer
syn_u_00015,Sushant Manandhar,33,Female,Gorkha,Nepal,tier_1,56558,195955,Apple,0.79,23.1,97.9,51.4,54.9,56.4,59.7,45.6,8,256,Flagship,90,4500,1.4,2,20.4,14,9,0.54,71,4.7,Mobile App,0.2,0.75,Mobile Photographer
syn_u_00016,Sudip Magar,44,Female,Beni,Nepal,tier_1,78561,321734,Samsung,0.76,53.8,74.8,62.8,80.4,100.0,81.4,40.7,8,256,Flagship,120,5000,2.7,3,14.6,13,5,0.36,33,3.4,In-store,0.29,0.56,Premium Flagship User
syn_u_00017,Bibash Shrestha,24,Female,Palungtar,Nepal,tier_1,43708,165475,ASUS,0.68,96.4,22.7,84.1,79.0,100.0,39.4,44.8,12,256,Flagship,144,6000,2.4,3,18.6,23,6,0.61,75,5.0,Mobile App,0.29,0.86,Hardcore Gamer
syn_u_00018,Prakash Khadka,30,Female,Rasuwa,Nepal,tier_2,21937,94138,Oppo,0.6,37.8,46.3,45.8,42.9,46.1,43.5,75.9,4,128,Mid,90,4000,1.0,3,17.0,10,4,0.28,114,3.7,Website,0.25,0.35,All-Round User
syn_u_00019,Mahendra Dangol,54,Female,Humla,Nepal,tier_2,19057,70892,Xiaomi,0.69,43.7,36.9,90.5,50.1,65.6,32.2,64.4,6,128,Mid,90,7000,1.6,2,13.1,9,7,0.26,140,3.8,In-store,0.16,0.28,Battery-Focused User
syn_u_00020,Bibash Bhandari,39,Other,Damauli,Nepal,tier_1,33477,144109,Apple,0.97,48.3,55.6,45.9,60.5,54.5,53.9,53.5,6,128,Mid,90,4000,1.4,4,13.5,8,3,0.26,178,4.6,Daraz,0.49,0.44,Brand-Loyal Customer
syn_u_00021,Rekha Joshi,27,Male,Kathmandu,Nepal,tier_2,8064,30643,Realme,0.54,36.1,43.4,75.2,40.0,32.9,39.6,76.6,4,64,Budget,60,5500,1.4,1,10.2,18,7,0.7,158,3.4,Mobile App,0.11,0.38,Budget Buyer
syn_u_00022,Parvati Shrestha,33,Female,Sindhupalchowk,Nepal,tier_2,47333,202922,Oneplus,0.68,75.0,74.2,50.7,83.9,75.1,52.8,36.4,8,256,Flagship,144,4500,2.1,1,20.8,23,6,0.38,56,4.3,Mobile App,0.37,0.51,Display Enthusiast
syn_u_00023,Sandesh Kafle,35,Male,Taulihawa,Nepal,tier_2,20457,102758,Xiaomi,0.58,48.1,43.1,48.8,54.9,54.0,51.7,75.6,6,128,Mid,90,4500,1.3,1,12.1,9,3,0.3,81,3.3,Mobile App,0.23,0.35,All-Round User
syn_u_00024,Sunita Mahato,30,Female,Kalaiya,Nepal,tier_2,31213,141915,Apple,0.95,43.0,63.5,53.2,54.7,68.6,49.0,52.8,6,128,Mid,90,5000,1.6,3,12.4,7,5,0.31,218,5.0,Daraz,0.47,0.48,Brand-Loyal Customer
syn_u_00025,Asha Acharya,32,Male,Sankhuwasabha,Nepal,tier_2,50481,236467,Google,0.77,24.2,100.0,56.8,58.3,53.1,65.5,44.4,8,256,Flagship,90,4500,1.6,2,13.6,9,8,0.35,43,3.6,Mobile App,0.27,0.49,Mobile Photographer
syn_u_00026,Aayan Sherpa,22,Male,Bara,Nepal,tier_1,9312,35020,Realme,0.57,31.5,35.2,69.2,50.5,31.8,37.1,91.0,4,64,Budget,60,4000,1.2,1,7.8,14,12,0.55,125,3.5,Daraz,0.12,0.36,Budget Buyer
syn_u_00027,Sushant Dangol,27,Other,Ramechhap,Nepal,tier_1,34643,173783,ASUS,0.79,87.4,28.5,67.4,75.7,91.9,39.5,35.6,12,256,Flagship,144,5500,3.2,3,25.6,12,12,0.37,29,4.0,Mobile App,0.31,0.91,Hardcore Gamer
syn_u_00028,Prakriti Magar,39,Female,Phalebas,Nepal,tier_1,53307,205015,Apple,0.82,29.3,90.4,40.8,68.2,53.2,59.2,47.5,8,256,Flagship,90,4500,2.3,2,13.6,8,8,0.27,32,4.4,Mobile App,0.23,0.85,Mobile Photographer
syn_u_00029,Shankar Basnet,56,Male,Phalebas,Nepal,rural,19811,68317,Samsung,0.67,40.1,48.4,95.8,57.5,61.2,39.5,63.7,6,128,Mid,90,5000,1.6,2,11.4,11,5,0.41,193,3.1,Mobile App,0.14,0.34,Battery-Focused User
syn_u_00030,Aayush Magar,36,Female,Bhairahawa,Nepal,tier_1,31924,167499,Apple,1.0,38.9,47.4,48.3,55.1,61.6,47.0,47.6,6,128,Mid,90,4500,1.3,2,12.4,8,3,0.21,274,4.0,Website,0.64,0.4,Brand-Loyal Customer
syn_u_00031,Bibash Rana,38,Male,Krishnanagar,Nepal,tier_1,54781,214046,Apple,0.65,72.2,61.7,58.7,94.8,77.1,49.3,34.1,8,256,Flagship,144,4500,1.8,2,21.7,14,5,0.28,46,2.9,Daraz,0.32,0.5,Display Enthusiast
syn_u_00032,Manoj Poudel,22,Male,Malangwa,Nepal,tier_2,8691,28560,Realme,0.62,33.8,37.2,79.9,45.2,33.3,37.3,97.0,4,64,Budget,60,5000,1.1,1,7.3,19,11,0.35,60,2.7,Daraz,0.08,0.42,Budget Buyer
syn_u_00033,Pooja Limbu,26,Male,Kusma,Nepal,tier_1,5832,29029,Tecno,0.64,40.9,34.5,67.6,38.0,34.6,44.1,88.0,4,64,Budget,60,5000,1.5,1,7.4,18,15,0.48,107,4.3,WhatsApp,0.09,0.38,Budget Buyer
syn_u_00034,Manoj Singh,28,Male,Jaleshwar,Nepal,rural,8425,35277,Realme,0.55,30.6,39.3,59.6,48.4,31.3,38.9,84.1,4,64,Budget,60,5500,1.4,0,9.1,7,12,0.38,172,3.1,Daraz,0.1,0.37,Budget Buyer
syn_u_00035,Anjali Karki,37,Female,Myagdi,Nepal,tier_1,47124,216044,Apple,0.83,24.6,72.7,52.0,74.6,61.8,62.8,39.6,8,256,Flagship,90,4500,1.4,3,16.4,8,12,0.38,53,3.3,Instagram DM,0.25,1.0,Mobile Photographer
syn_u_00036,Rajesh Rana,33,Female,Kanchanpur,Nepal,tier_1,40615,210996,Google,0.67,25.7,83.0,47.7,59.8,52.3,59.6,40.4,8,256,Flagship,90,5000,1.7,2,24.3,10,8,0.4,38,4.4,Instagram DM,0.31,0.94,Mobile Photographer
syn_u_00037,Sunita Pradhan,26,Other,Mugu,Nepal,tier_2,6779,25720,Realme,0.64,35.7,44.0,56.0,42.8,24.4,43.1,71.8,4,64,Budget,60,4500,1.2,1,8.9,14,8,0.56,142,4.2,Daraz,0.08,0.46,Budget Buyer
syn_u_00038,Sudip Poudel,33,Female,Mahottari,Nepal,tier_2,42909,180130,Google,0.87,27.6,80.2,56.8,73.8,48.5,44.9,44.7,8,256,Flagship,90,5000,2.4,1,16.7,10,11,0.44,77,3.2,Mobile App,0.28,0.53,Mobile Photographer
syn_u_00039,Rajesh Aryal,49,Male,Mahendranagar,Nepal,tier_1,17430,68543,Samsung,0.69,33.8,53.5,100.0,48.3,53.4,41.4,57.7,6,128,Mid,90,6500,1.1,1,13.3,8,5,0.17,148,4.2,Mobile App,0.09,0.31,Battery-Focused User
syn_u_00040,Deepak Kafle,30,Male,Baitadi,Nepal,tier_1,7122,32210,Redmi,0.53,40.0,40.0,76.3,37.6,25.2,45.7,85.9,4,64,Budget,60,5000,0.9,1,12.4,17,10,0.25,59,4.6,Mobile App,0.09,0.45,Budget Buyer
syn_u_00041,Ramesh Neupane,34,Female,Myagdi,Nepal,tier_1,23431,94262,Oneplus,0.56,54.6,47.0,55.8,44.6,47.4,41.7,72.8,8,128,Mid,90,5000,2.3,3,13.8,15,3,0.38,63,3.7,Website,0.31,0.31,All-Round User
syn_u_00042,Parvati Adhikari,38,Male,Mahottari,Nepal,rural,31258,138972,Samsung,0.92,40.8,57.6,57.5,52.5,65.9,46.3,49.4,6,128,Mid,90,5000,1.6,4,12.1,8,4,0.33,100,3.8,Mobile App,0.23,0.44,Brand-Loyal Customer
syn_u_00043,Rajesh Subedi,25,Male,Ramechhap,Nepal,tier_1,7583,28522,Samsung,0.51,34.1,38.9,83.1,43.2,31.0,37.7,80.0,4,64,Budget,60,5000,1.2,1,5.1,13,7,0.47,159,3.5,Daraz,0.13,0.44,Budget Buyer
syn_u_00044,Gita Dangol,36,Male,Mustang,Nepal,tier_1,21582,101751,Samsung,0.58,48.7,47.1,48.5,54.7,41.1,39.1,47.6,6,128,Mid,90,4500,1.1,2,13.1,7,6,0.27,89,4.4,Mobile App,0.25,0.33,All-Round User
syn_u_00045,Bibash Khadka,40,Female,Phalebas,Nepal,tier_1,28842,148450,Apple,0.77,47.3,60.3,45.1,57.0,61.0,53.0,47.9,6,128,Mid,90,4000,1.5,3,11.0,7,3,0.26,207,5.0,In-store,0.63,0.34,Brand-Loyal Customer
syn_u_00046,Aayush Rai,30,Male,Nepalgunj,Nepal,tier_1,7298,28878,Realme,0.6,31.3,39.4,71.4,42.7,37.1,40.9,84.5,4,64,Budget,60,5500,0.8,1,9.7,22,9,0.41,140,3.4,Mobile App,0.12,0.36,Budget Buyer
syn_u_00047,Mahendra Pradhan,23,Male,Dhanusha,Nepal,rural,7762,25824,Redmi,0.67,31.3,41.0,63.3,43.6,35.4,38.1,82.6,4,64,Budget,60,4500,1.1,1,6.9,19,16,0.36,195,2.9,Daraz,0.1,0.36,Budget Buyer
syn_u_00048,Homraj Shrestha,52,Male,Rampur,Nepal,tier_2,18459,61495,Samsung,0.62,38.3,46.9,96.1,59.9,42.8,41.9,65.0,6,128,Mid,90,7000,1.6,2,11.2,3,6,0.28,154,3.8,Mobile App,0.19,0.49,Battery-Focused User
syn_u_00049,Ram Awale,33,Male,Birtamod,Nepal,tier_1,45374,174784,Google,0.81,21.0,89.1,52.9,65.3,62.8,51.5,55.6,8,256,Flagship,90,4000,1.4,2,17.7,11,6,0.38,54,4.7,Daraz,0.2,0.53,Mobile Photographer
syn_u_00050,Sita Gurung,31,Female,Achham,Nepal,tier_1,57061,203194,Apple,0.67,26.9,96.0,46.6,66.3,45.7,50.2,40.0,8,256,Flagship,90,4500,1.5,2,17.6,9,9,0.35,49,4.0,Mobile App,0.24,0.73,Mobile Photographer
syn_u_00051,Anjali Dangol,24,Male,Bara,Nepal,tier_2,39037,193212,Oneplus,0.62,86.7,31.9,53.2,81.0,77.2,34.3,52.2,12,256,Flagship,144,6500,2.7,1,22.7,15,8,0.43,39,4.6,Mobile App,0.3,0.58,Hardcore Gamer
syn_u_00052,Rekha Simkhada,39,Male,Gaur,Nepal,tier_2,28018,142941,Apple,0.88,45.0,53.5,51.6,63.7,57.3,48.1,50.7,6,128,Mid,90,4000,1.1,3,12.6,5,2,0.4,160,3.0,Mobile App,0.58,0.51,Brand-Loyal Customer
syn_u_00053,Manoj Awale,59,Male,Mugu,Nepal,tier_2,19479,71266,Xiaomi,0.73,37.3,44.2,100.0,51.3,59.8,42.2,66.8,6,128,Mid,90,6500,1.6,2,10.8,8,5,0.43,97,4.5,Daraz,0.15,0.45,Battery-Focused User
syn_u_00054,Bishnu Bhandari,35,Male,Panchthar,Nepal,tier_2,32652,141982,Samsung,0.82,36.9,53.7,46.4,63.4,46.6,44.8,52.1,8,128,Mid,90,4000,1.2,3,13.4,7,3,0.21,180,4.3,Mobile App,0.38,0.56,Brand-Loyal Customer
syn_u_00055,Ankit Dahal,37,Male,Putalibazar,Nepal,tier_1,27377,135442,Apple,0.86,48.1,50.7,50.1,52.8,60.5,51.1,49.5,6,128,Mid,90,4000,1.9,3,11.6,5,2,0.21,228,4.2,Mobile App,0.63,0.5,Brand-Loyal Customer
syn_u_00056,Sunita Pandey,25,Female,Malangwa,Nepal,rural,8323,30787,Redmi,0.65,30.0,47.4,68.7,38.7,27.7,33.4,90.6,4,64,Budget,60,4500,1.0,1,5.9,13,21,0.58,110,3.4,Daraz,0.1,0.37,Budget Buyer
syn_u_00057,Suresh Rana,38,Female,Kanchanpur,Nepal,tier_1,70651,321871,Apple,0.69,50.5,66.5,64.2,80.0,100.0,94.1,35.8,8,256,Flagship,120,3500,3.8,4,19.0,9,6,0.32,40,4.5,Mobile App,0.53,0.47,Premium Flagship User
syn_u_00058,Rajesh Magar,25,Male,Kalaiya,Nepal,tier_1,47986,188496,Apple,0.78,26.6,93.8,54.7,64.5,52.2,61.2,38.9,8,256,Flagship,90,4500,1.1,2,23.8,12,10,0.51,67,3.5,Instagram DM,0.25,0.7,Mobile Photographer
syn_u_00059,Anita Pandey,26,Male,Panchthar,Nepal,tier_2,36727,171648,Oneplus,0.72,100.0,28.6,67.1,79.4,88.5,39.4,52.7,12,256,Flagship,144,4000,3.1,3,16.5,17,4,0.32,54,3.9,Mobile App,0.18,0.67,Hardcore Gamer
syn_u_00060,Sita Shrestha,58,Male,Taulihawa,Nepal,tier_2,19264,79346,Samsung,0.62,43.0,38.2,100.0,50.5,60.9,39.8,65.4,6,128,Mid,90,7000,1.6,2,9.2,8,7,0.26,155,2.9,In-store,0.17,0.35,Battery-Focused User
syn_u_00061,Ankit Aryal,31,Male,Barpak,Nepal,rural,8585,33339,Samsung,0.64,34.4,34.7,74.6,48.5,34.7,45.1,100.0,4,64,Budget,60,5500,1.3,1,8.3,15,14,0.49,154,2.2,Daraz,0.12,0.55,Budget Buyer
syn_u_00062,Prakriti Bohara,50,Male,Tansen,Nepal,tier_1,79974,276529,Samsung,0.76,52.6,80.1,57.8,77.4,94.5,91.6,35.5,8,256,Flagship,120,4000,3.1,6,21.2,12,7,0.46,9,4.0,Mobile App,0.37,0.62,Premium Flagship User
syn_u_00063,Anita Yadav,38,Female,Saurpani,Nepal,tier_2,28359,154067,Samsung,1.0,47.9,61.0,48.8,45.7,55.0,64.5,56.3,6,128,Mid,90,4500,1.1,4,13.5,6,3,0.31,155,3.3,Mobile App,0.3,0.38,Brand-Loyal Customer
syn_u_00064,Ramesh Rai,56,Male,Sankhuwasabha,Nepal,tier_1,18824,72787,Samsung,0.77,39.8,52.7,90.0,57.0,58.3,39.9,68.5,6,128,Mid,90,6500,1.3,2,6.6,10,3,0.27,215,4.4,Mobile App,0.15,0.33,Battery-Focused User
syn_u_00065,Suresh Manandhar,48,Female,Kathmandu,Nepal,tier_1,86483,283887,Samsung,0.84,56.2,69.9,74.0,75.1,90.8,74.6,40.2,12,256,Flagship,120,4500,2.5,3,19.1,15,8,0.24,32,3.1,Website,0.27,0.42,Premium Flagship User
syn_u_00066,Nirmala Simkhada,44,Male,Baglung,Nepal,tier_1,85158,263118,Samsung,0.78,58.7,96.2,63.1,90.5,62.3,83.3,44.4,8,256,Flagship,120,5000,1.4,4,10.0,13,8,0.29,35,4.2,Mobile App,0.31,0.56,Premium Flagship User
syn_u_00067,Anjali Adhikari,22,Male,Parasi,Nepal,tier_1,8218,28051,Redmi,0.56,35.8,40.8,77.0,47.6,31.3,42.9,69.5,4,64,Budget,60,4000,1.3,1,8.9,9,12,0.37,134,2.7,In-store,0.07,0.37,Budget Buyer
syn_u_00068,Laxmi Acharya,25,Male,Kapilvastu,Nepal,tier_2,33994,149494,Oneplus,0.69,96.1,31.8,69.9,72.9,84.8,38.2,47.7,12,256,Flagship,144,5000,4.0,2,21.4,10,9,0.39,56,3.8,Mobile App,0.27,0.5,Hardcore Gamer
syn_u_00069,Manoj Pradhan,25,Female,Janakpur,Nepal,tier_2,7812,29243,Samsung,0.58,32.6,43.0,79.2,44.2,26.9,39.9,88.0,4,64,Budget,60,5000,1.3,1,5.4,17,9,0.52,125,2.7,Mobile App,0.11,0.45,Budget Buyer
syn_u_00070,Sushant Simkhada,28,Male,Doti,Nepal,tier_2,46061,204624,Google,0.71,27.1,78.8,44.8,51.6,50.1,69.0,54.3,8,256,Flagship,90,4500,2.0,1,15.9,17,5,0.3,60,4.2,Mobile App,0.25,0.9,Mobile Photographer
syn_u_00071,Bibash Bohara,26,Female,Mahendranagar,Nepal,tier_1,7561,26027,Realme,0.61,36.3,39.6,59.9,44.7,33.7,35.1,82.9,4,64,Budget,60,5000,1.3,1,6.4,8,13,0.45,186,4.7,Daraz,0.08,0.45,Budget Buyer
syn_u_00072,Kamala Tuladhar,38,Male,Kathmandu,Nepal,tier_1,25320,84622,Nokia,0.54,47.1,46.1,50.9,49.8,48.5,44.1,59.8,6,128,Mid,90,5000,1.4,2,11.8,4,4,0.37,78,3.9,Mobile App,0.29,0.48,All-Round User
syn_u_00073,Sabita Maharjan,41,Male,Siraha,Nepal,tier_1,46088,164731,Google,0.73,26.6,100.0,49.6,63.4,57.9,58.5,43.5,8,256,Flagship,90,5000,1.7,1,17.5,9,8,0.3,60,3.4,Instagram DM,0.31,0.64,Mobile Photographer
syn_u_00074,Anita Khadka,26,Male,Putalibazar,Nepal,tier_2,42896,204716,Oneplus,0.53,87.1,32.1,65.6,87.2,94.4,40.3,61.2,12,256,Flagship,144,5500,1.8,3,25.6,18,14,0.29,22,4.6,Mobile App,0.29,0.76,Hardcore Gamer
syn_u_00075,Nirmala Poudel,24,Other,Rasuwa,Nepal,rural,8723,26502,Redmi,0.54,36.5,40.0,66.2,50.6,28.4,38.8,71.5,4,64,Budget,60,4500,1.3,1,11.3,12,6,0.39,95,3.2,Daraz,0.13,0.52,Budget Buyer
syn_u_00076,Rajesh Chhuka,32,Female,Rajbiraj,Nepal,tier_2,6529,27735,Redmi,0.54,34.3,35.3,69.9,49.5,30.1,36.7,74.4,4,64,Budget,60,4500,1.0,0,8.7,11,14,0.42,84,3.8,Daraz,0.11,0.41,Budget Buyer
syn_u_00077,Sarita Bhandari,43,Male,Lalitpur,Nepal,rural,23460,80692,Samsung,0.71,33.8,44.0,100.0,50.7,51.9,33.0,74.0,6,128,Mid,90,6500,1.1,2,10.4,7,6,0.28,237,3.7,Daraz,0.13,0.25,Battery-Focused User
syn_u_00078,Saraswati Singh,42,Female,Achham,Nepal,tier_2,81293,259462,Apple,0.9,61.5,71.4,59.1,76.1,82.2,78.9,43.3,8,256,Flagship,120,4500,2.2,4,13.4,12,3,0.23,25,4.7,Mobile App,0.51,0.55,Premium Flagship User
syn_u_00079,Aayan Mahato,40,Male,Pokhara,Nepal,tier_2,31310,134915,Apple,0.96,46.1,60.2,59.6,56.1,52.6,50.5,47.0,6,128,Mid,90,4500,1.6,2,16.9,7,4,0.26,262,5.0,Mobile App,0.49,0.47,Brand-Loyal Customer
syn_u_00080,Prakash Dangol,49,Male,Kaski,Nepal,tier_1,18074,66700,Samsung,0.7,38.6,44.7,94.4,47.8,50.7,44.3,51.3,6,128,Mid,90,6500,1.1,2,9.8,11,5,0.21,154,4.4,Daraz,0.15,0.3,Battery-Focused User
syn_u_00081,Prakash Poudel,34,Male,Gaur,Nepal,rural,6387,27701,Tecno,0.6,32.9,39.8,63.7,39.9,33.1,37.8,64.5,4,64,Budget,60,6000,1.6,1,7.7,9,6,0.48,133,3.9,Daraz,0.1,0.25,Budget Buyer
syn_u_00082,Pooja Bohara,38,Female,Dadeldhura,Nepal,tier_2,29848,145083,Apple,0.95,39.3,46.0,56.4,62.6,55.4,54.1,55.1,6,128,Mid,90,4500,1.9,3,16.1,5,3,0.24,197,5.0,Email,0.5,0.39,Brand-Loyal Customer
syn_u_00083,Krishna Rana,37,Female,Tanahun,Nepal,tier_2,59244,220199,Apple,0.78,24.6,100.0,54.0,60.1,47.3,63.4,44.7,8,256,Flagship,90,4000,2.0,2,15.8,14,7,0.32,50,4.7,Instagram DM,0.32,1.0,Mobile Photographer
syn_u_00084,Bishnu Neupane,18,Male,Parasi,Nepal,tier_1,37645,172533,ASUS,0.66,100.0,31.5,67.8,72.1,100.0,43.3,60.5,12,256,Flagship,144,5500,2.3,2,18.5,17,12,0.53,27,3.7,Daraz,0.35,0.63,Hardcore Gamer
syn_u_00085,Homraj Rai,21,Male,Lahan,Nepal,tier_2,37384,175329,ASUS,0.58,84.3,33.8,70.5,80.0,98.8,39.9,53.1,12,256,Flagship,144,6000,1.9,4,20.4,14,9,0.49,52,3.9,Mobile App,0.31,0.62,Hardcore Gamer
syn_u_00086,Gita Sah,39,Male,Achham,Nepal,tier_1,28559,173882,Oneplus,0.93,41.9,49.6,52.3,64.7,55.8,46.0,40.9,6,128,Mid,90,3500,1.4,1,13.7,8,4,0.16,152,3.8,Website,0.38,0.53,Brand-Loyal Customer
syn_u_00087,Sunita Magar,26,Female,Ramechhap,Nepal,tier_2,8320,27748,Tecno,0.52,42.7,42.5,71.9,40.6,32.7,34.6,71.7,4,64,Budget,60,4500,1.1,1,5.4,15,13,0.58,153,3.6,Mobile App,0.09,0.44,Budget Buyer
syn_u_00088,Prakash Upadhyay,37,Male,Parsa,Nepal,tier_1,42148,178702,Google,0.64,24.0,92.4,56.5,65.9,60.7,61.8,42.6,8,256,Flagship,90,4500,1.8,1,11.8,11,2,0.48,71,3.6,Mobile App,0.3,0.62,Mobile Photographer
syn_u_00089,Manoj Bohara,39,Female,Kanchanpur,Nepal,tier_2,89541,331349,Samsung,0.94,46.6,65.4,56.0,75.4,84.3,76.8,38.2,8,256,Flagship,120,5000,2.1,3,18.5,9,5,0.37,39,4.3,Daraz,0.42,0.48,Premium Flagship User
syn_u_00090,Saraswati Simkhada,33,Female,Pokhara,Nepal,rural,56682,209180,Apple,0.83,26.2,100.0,51.6,69.5,56.6,59.4,43.8,8,256,Flagship,90,4500,1.9,2,16.8,7,12,0.31,77,4.2,Daraz,0.24,0.67,Mobile Photographer
syn_u_00091,Sabita Pradhan,44,Male,Taplejung,Nepal,tier_1,34155,143837,Samsung,0.95,39.8,54.0,58.2,52.3,53.2,49.1,60.6,6,128,Mid,90,3500,1.3,3,15.9,7,3,0.3,276,4.9,Daraz,0.55,0.44,Brand-Loyal Customer
syn_u_00092,Sushant Rana,22,Female,Biratnagar,Nepal,tier_1,7055,33138,Infinix,0.62,36.3,35.7,73.2,48.0,28.4,34.2,85.9,4,64,Budget,60,4500,1.6,0,8.2,21,9,0.48,105,3.3,In-store,0.07,0.39,Budget Buyer
syn_u_00093,Manoj Neupane,26,Female,Kaski,Nepal,tier_1,8584,26876,Infinix,0.5,36.9,41.1,75.5,43.5,27.2,43.7,80.3,4,64,Budget,60,5000,1.4,1,9.3,5,10,0.48,183,3.1,Daraz,0.12,0.34,Budget Buyer
syn_u_00094,Asha Shrestha,27,Female,Parasi,Nepal,tier_2,8418,29530,Redmi,0.58,37.7,37.8,80.7,50.9,32.0,36.6,76.3,4,64,Budget,60,5000,1.3,1,8.9,12,9,0.53,114,3.9,Daraz,0.12,0.31,Budget Buyer
syn_u_00095,Dinesh Acharya,51,Female,Kavrepalanchok,Nepal,tier_2,21946,79789,Samsung,0.69,39.0,37.2,100.0,48.4,57.8,42.7,56.9,6,128,Mid,90,6000,1.3,2,12.2,10,3,0.37,232,3.8,Mobile App,0.18,0.33,Battery-Focused User
